Beer,Brewery,Location,Table,Score,rAvg,Ratings,Bro Score,Style,ABV,URL
Abita Select Mayhawk,Abita Brewing Co.,"Abita Springs, LA",43,N/A,3.58,3,N/A,Belgian Pale Ale,6.50%,http://beeradvocate.com/beer/profile/3/93248
Amber,Abita Brewing Co.,"Abita Springs, LA",43,78,3.44,880,90,Vienna Lager,4.50%,http://beeradvocate.com/beer/profile/3/5
Lemon Wheat,Abita Brewing Co.,"Abita Springs, LA",43,76,3.15,18,N/A,American Pale Wheat Ale,?,http://beeradvocate.com/beer/profile/3/92293
Purple Haze,Abita Brewing Co.,"Abita Springs, LA",43,74,3.22,1585,88,Fruit / Vegetable Beer,4.20%,http://beeradvocate.com/beer/profile/3/7
Allagash Black - Bourbon Barrel Aged,Allagash Brewing Company,"Portland, ME",19,92,4.16,194,N/A,Belgian Strong Dark Ale,9.30%,http://beeradvocate.com/beer/profile/4/48279
Allagash Blonde,Allagash Brewing Company,"Portland, ME",19,90,4.05,61,N/A,Belgian Pale Ale,6.86%,http://beeradvocate.com/beer/profile/4/60712
Allagash Interlude,Allagash Brewing Company,"Portland, ME",19,94,4.22,664,94,Saison / Farmhouse Ale,9.50%,http://beeradvocate.com/beer/profile/4/27837
Allagash White,Allagash Brewing Company,"Portland, ME",19,93,4.17,2477,100,Witbier,5.00%,http://beeradvocate.com/beer/profile/4/59
Barrel Aged Off Kilter Wee Heavy,Amherst Brewing Co.,"Amherst, MA",63,N/A,0,0,N/A,Scotch Ale / Wee Heavy,7.30%,http://beeradvocate.com/beer/profile/225/93084
Das Boot Berliner Weisse,Amherst Brewing Co.,"Amherst, MA",63,N/A,3,1,N/A,Berliner Weissbier,4.20%,http://beeradvocate.com/beer/profile/225/93082
Expermental IPA #1,Amherst Brewing Co.,"Amherst, MA",63,N/A,0,0,N/A,American IPA,4.30%,http://beeradvocate.com/beer/profile/225/93083
Post Master General IPA,Amherst Brewing Co.,"Amherst, MA",63,N/A,0,0,N/A,American Double / Imperial IPA,8.10%,http://beeradvocate.com/beer/profile/225/93085
Wedding Witte,Amherst Brewing Co.,"Amherst, MA",63,N/A,3.18,3,N/A,Witbier,5.20%,http://beeradvocate.com/beer/profile/225/80546
Anderson Valley Wild Turkey Bourbon Barrel Stout,Anderson Valley Brewing Company,"Boonville, CA",70,86,3.8,236,N/A,American Stout,6.90%,http://beeradvocate.com/beer/profile/193/86545
Heelch O'Hops,Anderson Valley Brewing Company,"Boonville, CA",70,86,3.81,173,N/A,American Double / Imperial IPA,8.70%,http://beeradvocate.com/beer/profile/193/86256
Hop Ottin' IPA,Anderson Valley Brewing Company,"Boonville, CA",70,90,4.03,1807,100,American IPA,7.00%,http://beeradvocate.com/beer/profile/193/611
Summer Solstice,Anderson Valley Brewing Company,"Boonville, CA",70,83,3.69,725,85,Cream Ale,5.00%,http://beeradvocate.com/beer/profile/193/23506
Avery India Pale Ale (IPA),Avery Brewing Company,"Boulder, CO",71,87,3.89,1720,N/A,American IPA,6.50%,http://beeradvocate.com/beer/profile/30/2729
