Beer,Brewery,Location,Table,Score,rAvg,Ratings,Bro Score,Style,ABV,URL
Amber,Abita Brewing Co.,"Abita Springs, LA",43,78,3.44,880,90,Vienna Lager,4.50%,http://beeradvocate.com/beer/profile/3/5
Purple Haze,Abita Brewing Co.,"Abita Springs, LA",43,74,3.22,1585,88,Fruit / Vegetable Beer,4.20%,http://beeradvocate.com/beer/profile/3/7
Allagash Interlude,Allagash Brewing Company,"Portland, ME",19,94,4.22,664,94,Saison / Farmhouse Ale,9.50%,http://beeradvocate.com/beer/profile/4/27837
Allagash White,Allagash Brewing Company,"Portland, ME",19,93,4.17,2477,100,Witbier,5.00%,http://beeradvocate.com/beer/profile/4/59
Hop Ottin' IPA,Anderson Valley Brewing Company,"Boonville, CA",70,90,4.03,1807,100,American IPA,7.00%,http://beeradvocate.com/beer/profile/193/611
Summer Solstice,Anderson Valley Brewing Company,"Boonville, CA",70,83,3.69,725,85,Cream Ale,5.00%,http://beeradvocate.com/beer/profile/193/23506
Karma,Avery Brewing Company,"Boulder, CO",71,78,3.42,637,72,Belgian Pale Ale,5.20%,http://beeradvocate.com/beer/profile/30/23042
Maharaja,Avery Brewing Company,"Boulder, CO",71,94,4.24,3172,95,American Double / Imperial IPA,10.40%,http://beeradvocate.com/beer/profile/30/22352
White Rascal,Avery Brewing Company,"Boulder, CO",71,83,3.66,1231,77,Witbier,5.60%,http://beeradvocate.com/beer/profile/30/9689
Declaration,Backlash Beer Company,"Holyoke, MA",117,83,3.67,85,86,Belgian IPA,7.20%,http://beeradvocate.com/beer/profile/26554/77861
Calico Copper Amber Ale,Ballast Point Brewing Company,"San Diego, CA",20,86,3.82,579,89,American Amber / Red Ale,5.00%,http://beeradvocate.com/beer/profile/199/691
Dorado Double IPA,Ballast Point Brewing Company,"San Diego, CA",20,93,4.19,871,94,American Double / Imperial IPA,9.60%,http://beeradvocate.com/beer/profile/199/10386
Sculpin IPA,Ballast Point Brewing Company,"San Diego, CA",20,98,4.43,4459,100,American IPA,7.00%,http://beeradvocate.com/beer/profile/199/29619
Victory At Sea Coffee Vanilla Imperial Porter,Ballast Point Brewing Company,"San Diego, CA",20,98,4.4,1909,100,American Porter,10.00%,http://beeradvocate.com/beer/profile/199/48505
1775 Tavern Ale,Battle Road Brewing Company,"Stoughton, MA",140,83,3.69,17,88,American Pale Ale (APA),5.40%,http://beeradvocate.com/beer/profile/30910/90179
Amber Road Amber Ale,Baxter Brewing Co.,"Lewiston, ME",114,82,3.61,86,87,American Amber / Red Ale,5.50%,http://beeradvocate.com/beer/profile/23922/74632
Pamola Xtra Pale Ale,Baxter Brewing Co.,"Lewiston, ME",114,81,3.55,131,84,American Pale Ale (APA),4.90%,http://beeradvocate.com/beer/profile/23922/65518
Stowaway I.P.A.,Baxter Brewing Co.,"Lewiston, ME",114,87,3.89,306,87,American IPA,6.90%,http://beeradvocate.com/beer/profile/23922/65842
Hop Rod Rye,Bear Republic Brewing Co.,"Healdsburg, CA",72,95,4.27,3226,100,American IPA,8.00%,http://beeradvocate.com/beer/profile/610/3158
Racer 5 India Pale Ale,Bear Republic Brewing Co.,"Healdsburg, CA",72,94,4.22,4337,94,American IPA,7.00%,http://beeradvocate.com/beer/profile/610/2751
Back Bay IPA,Beer Works,United States,62,86,3.84,103,98,American IPA,6.80%,http://beeradvocate.com/beer/profile/9343/552
Bunker Hill Blueberry Ale,Beer Works,United States,62,82,3.59,70,85,Fruit / Vegetable Beer,4.80%,http://beeradvocate.com/beer/profile/9343/553
Terrier Scottish Ale,Beer Works,United States,62,86,3.92,12,90,Scottish Ale,4.00%,http://beeradvocate.com/beer/profile/9343/3140
Lost Sailor India Pale Ale,Berkshire Brewing Company Inc.,"South Deerfield, MA",56,88,3.92,407,94,English India Pale Ale (IPA),5.50%,http://beeradvocate.com/beer/profile/33/89
River Ale,Berkshire Brewing Company Inc.,"South Deerfield, MA",56,88,3.94,163,93,American Dark Wheat Ale,7.00%,http://beeradvocate.com/beer/profile/33/2370
Steel Rail Extra Pale Ale,Berkshire Brewing Company Inc.,"South Deerfield, MA",56,82,3.63,330,82,American Pale Ale (APA),5.30%,http://beeradvocate.com/beer/profile/33/93
Black Hops Beer,Blue Hills Brewery,"Canton, MA",86,80,3.5,102,84,American Black Ale,6.75%,http://beeradvocate.com/beer/profile/19213/59877
Blue Hills India Pale Ale,Blue Hills Brewery,"Canton, MA",86,72,3.05,91,68,American IPA,6.60%,http://beeradvocate.com/beer/profile/19213/47463
Samuel Adams Boston Lager,Boston Beer Company (Samuel Adams),"Jamaica Plain, MA",134,85,3.79,4753,90,Vienna Lager,4.90%,http://beeradvocate.com/beer/profile/35/104
Samuel Adams Porch Rocker,Boston Beer Company (Samuel Adams),"Jamaica Plain, MA",134,76,3.32,427,79,Fruit / Vegetable Beer,4.50%,http://beeradvocate.com/beer/profile/35/81388
Samuel Adams Summer Ale,Boston Beer Company (Samuel Adams),"Jamaica Plain, MA",134,77,3.36,2926,78,American Pale Wheat Ale,5.30%,http://beeradvocate.com/beer/profile/35/103
Hazed & Infused,Boulder Beer / Wilderness Pub,"Boulder, CO",42,84,3.71,1376,78,American Pale Ale (APA),5.00%,http://beeradvocate.com/beer/profile/130/6590
