State,stateAbbr,Craft Breweries,Craft Breweries Rank,Total Breweries,Total Breweries Rank,Population,Craft Breweries,Capita/ Craft Brewery,Craft Breweries/ Capita Rank,Total Breweries,nonCraft Breweries,Total Capita/ Breweries,Total Capita/ Breweries Rank,Production_Rank,2012 Craft Barrels_Production,2011 Craft Barrels_Production
Alabama,AL,10,40,10,40,"4,779,736",10," 477,974 ",49,10,0," 477,974 ",49,46," 7,274 ", 942 
Alaska,AK,22,29,22,30,"710,231",22," 32,283 ",4,22,0," 32,283 ",4,17," 170,610 "," 157,107 "
Arizona,AZ,44,19,44,19,"6,392,017",44," 145,273 ",28,44,0," 145,273 ",29,24," 93,103 "," 69,080 "
Arkansas,AR,10,40,10,40,"2,915,918",10," 291,592 ",41,10,0," 291,592 ",41,47," 5,639 "," 4,079 "
California,CA,316,1,325,1,"37,253,956",316," 117,892 ",20,325,9," 114,628 ",19,1," 2,453,793 "," 2,020,246 "
Colorado,CO,151,3,154,3,"5,029,196",151," 33,306 ",5,154,3," 32,657 ",5,3," 1,291,771 "," 1,185,354 "
Connecticut,CT,21,31,21,31,"3,574,097",21," 170,195 ",33,21,0," 170,195 ",33,33," 40,947 "," 23,372 "
Delaware,DC,9,43,10,40,"897,934",9," 99,770 ",16,10,1," 89,793 ",14,45," 7,815 "," 2,822 "
District of Columbia,DE,6,48,6,48,"601,723",6," 100,287 ",17,6,0," 100,287 ",17,16," 180,794 "," 153,958 "
Florida,FL,57,13,59,13,"18,801,310",57," 329,848 ",44,59,2," 318,666 ",44,25," 92,512 "," 64,531 "
Georgia,GA,22,29,24,29,"9,687,310",22," 440,332 ",48,24,2," 403,638 ",48,21," 153,218 "," 129,813 "
Hawaii,HI,9,43,10,40,"1,360,301",9," 151,145 ",30,10,1," 136,030 ",27,38," 27,906 "," 24,278 "
Idaho,ID,29,25,29,25,"1,567,582",29," 54,055 ",9,29,0," 54,055 ",9,37," 30,931 "," 21,700 "
Illinois,IL,67,11,68,11,"12,830,632",67," 191,502 ",35,68,1," 188,686 ",36,26," 87,993 "," 64,081 "
Indiana,IN,54,14,54,14,"6,483,802",54," 120,070 ",21,54,0," 120,070 ",22,27," 87,321 "," 68,636 "
Iowa,IA,33,22,33,22,"3,046,355",33," 92,314 ",14,33,0," 92,314 ",15,40," 21,754 "," 19,390 "
