beer name,Brewery,Location,State,Style,,Table,Score,,rAvg,Bro Score,ABV,Ratings
Abita Select Mayhawk,Abita Brewing Co.,Abita Springs,LA,Belgian Pale Ale,Belgian,43,N/A,,3.58,N/A,6.50%,3
Amber,Abita Brewing Co.,Abita Springs,LA,Vienna Lager,,43,78,,3.44,90,4.50%,880
Lemon Wheat,Abita Brewing Co.,Abita Springs,LA,American Pale Wheat Ale,,43,76,,3.15,N/A,?,18
Purple Haze,Abita Brewing Co.,Abita Springs,LA,Fruit / Vegetable Beer,,43,74,,3.22,88,4.20%,1585
Allagash Black - Bourbon Barrel Aged,Allagash Brewing Company,Portland,ME,Belgian Strong Dark Ale,Belgian,19,92,,4.16,N/A,9.30%,194
Allagash Blonde,Allagash Brewing Company,Portland,ME,Belgian Pale Ale,Belgian,19,90,,4.05,N/A,6.86%,61
Allagash Interlude,Allagash Brewing Company,Portland,ME,Saison / Farmhouse Ale,,19,94,,4.22,94,9.50%,664
Allagash White,Allagash Brewing Company,Portland,ME,Witbier,,19,93,,4.17,100,5.00%,2477
Barrel Aged Off Kilter Wee Heavy,Amherst Brewing Co.,Amherst,MA,Scotch Ale / Wee Heavy,,63,N/A,,0,N/A,7.30%,0
Das Boot Berliner Weisse,Amherst Brewing Co.,Amherst,MA,Berliner Weissbier,,63,N/A,,3,N/A,4.20%,1
Expermental IPA #1,Amherst Brewing Co.,Amherst,MA,American IPA,,63,N/A,,0,N/A,4.30%,0
Post Master General IPA,Amherst Brewing Co.,Amherst,MA,American Double / Imperial IPA,,63,N/A,,0,N/A,8.10%,0
Wedding Witte,Amherst Brewing Co.,Amherst,MA,Witbier,,63,N/A,,3.18,N/A,5.20%,3
Anderson Valley Wild Turkey Bourbon Barrel Stout,Anderson Valley Brewing Company,Boonville,CA,American Stout,,70,86,,3.8,N/A,6.90%,236
Heelch O'Hops,Anderson Valley Brewing Company,Boonville,CA,American Double / Imperial IPA,,70,86,,3.81,N/A,8.70%,173
Hop Ottin' IPA,Anderson Valley Brewing Company,Boonville,CA,American IPA,,70,90,,4.03,100,7.00%,1807
Summer Solstice,Anderson Valley Brewing Company,Boonville,CA,Cream Ale,,70,83,,3.69,85,5.00%,725
Avery India Pale Ale (IPA),Avery Brewing Company,Boulder,CO,American IPA,,71,87,,3.89,N/A,6.50%,1720
Karma,Avery Brewing Company,Boulder,CO,Belgian Pale Ale,Belgian,71,78,,3.42,72,5.20%,637
Maharaja,Avery Brewing Company,Boulder,CO,American Double / Imperial IPA,,71,94,,4.24,95,10.40%,3172
Odio Equum,Avery Brewing Company,Boulder,CO,American Wild Ale,,71,93,,4.23,N/A,7.10%,97
White Rascal,Avery Brewing Company,Boulder,CO,Witbier,,71,83,,3.66,77,5.60%,1231
Back East Ale,Back East Brewing Company,Bloomfield,CT,American Amber / Red Ale,,98,83,,3.69,N/A,5.00%,13
Imperial Stout,Back East Brewing Company,Bloomfield,CT,Russian Imperial Stout,,98,88,,3.99,N/A,10.50%,34
Porter,Back East Brewing Company,Bloomfield,CT,American Porter,,98,89,,4.24,N/A,6.00%,12
Summer Ale,Back East Brewing Company,Bloomfield,CT,American Blonde Ale,,98,N/A,,0,N/A,6.00%,0
Convergence,Backlash Beer Company,Holyoke,MA,Saison / Farmhouse Ale,,117,87,,3.91,N/A,7.50%,40
Declaration,Backlash Beer Company,Holyoke,MA,Belgian IPA,Belgian,117,83,,3.67,86,7.20%,85
Groundswell,Backlash Beer Company,Holyoke,MA,Belgian Strong Pale Ale,Belgian,117,89,,4.06,N/A,6.40%,47
Salute,Backlash Beer Company,Holyoke,MA,American Double / Imperial IPA,,117,91,,4.19,N/A,8.50%,31
Calico Copper Amber Ale,Ballast Point Brewing Company,San Diego,CA,American Amber / Red Ale,,20,86,,3.82,89,5.00%,579
Dorado Double IPA,Ballast Point Brewing Company,San Diego,CA,American Double / Imperial IPA,,20,93,,4.19,94,9.60%,871
Sculpin IPA,Ballast Point Brewing Company,San Diego,CA,American IPA,,20,98,,4.43,100,7.00%,4459
Victory At Sea Coffee Vanilla Imperial Porter,Ballast Point Brewing Company,San Diego,CA,American Porter,,20,98,,4.4,100,10.00%,1909
Banner American Ale,Banner Beer Company,Williamsburg,MA,American Amber / Red Ale,,135,N/A,,3.74,N/A,3.40%,9
Banner American Rye,Banner Beer Company,Williamsburg,MA,Rye Beer,,135,N/A,,0,N/A,4.00%,0
Banner American Summer,Banner Beer Company,Williamsburg,MA,American Blonde Ale,,135,N/A,,0,N/A,3.70%,0
1775 Tavern Ale,Battle Road Brewing Company,Stoughton,MA,American Pale Ale (APA),,140,83,,3.69,88,5.40%,17
Barrett's Farmhouse Ale,Battle Road Brewing Company,Stoughton,MA,Saison / Farmhouse Ale,,140,N/A,,3.58,N/A,5.50%,9
Lexington Green East India Pale Ale,Battle Road Brewing Company,Stoughton,MA,American IPA,,140,83,,3.66,N/A,5.70%,12
Amber Road Amber Ale,Baxter Brewing Co.,Lewiston,ME,American Amber / Red Ale,,114,82,,3.61,87,5.50%,86
Pamola Xtra Pale Ale,Baxter Brewing Co.,Lewiston,ME,American Pale Ale (APA),,114,81,,3.55,84,4.90%,131
Stowaway I.P.A.,Baxter Brewing Co.,Lewiston,ME,American IPA,,114,87,,3.89,87,6.90%,306
Summer Swelter Ale,Baxter Brewing Co.,Lewiston,ME,Herbed / Spiced Beer,,114,84,,3.74,N/A,4.70%,51
Black Racer,Bear Republic Brewing Co.,Healdsburg,CA,American Black Ale,,72,88,,3.96,N/A,8.10%,165
Cher Ami,Bear Republic Brewing Co.,Healdsburg,CA,Belgian Pale Ale,Belgian,72,81,,3.42,N/A,4.70%,10
Hop Rod Rye,Bear Republic Brewing Co.,Healdsburg,CA,American IPA,,72,95,,4.27,100,8.00%,3226
Racer 5 India Pale Ale,Bear Republic Brewing Co.,Healdsburg,CA,American IPA,,72,94,,4.22,94,7.00%,4337
Back Bay IPA,Beer Works,United States,,American IPA,,62,86,,3.84,98,6.80%,103
Barrel Aged Oud Bruin (Sour),Beer Works,United States,,Flanders Oud Bruin,,62,N/A,,0,N/A,8.00%,0
Bunker Hill Blueberry Ale,Beer Works,United States,,Fruit / Vegetable Beer,,62,82,,3.59,85,4.80%,70
Old Ironsides English Old Ale,Beer Works,United States,,Old Ale,,62,N/A,,3.77,N/A,7.50%,2
RIPA - Rosemary Imperial Pale Ale,Beer Works,United States,,American IPA,,62,N/A,,3.48,N/A,7.50%,6
Terrier Scottish Ale,Beer Works,United States,,Scottish Ale,,62,86,,3.92,90,4.00%,12
Watermelon Ale,Beer Works,United States,,Fruit / Vegetable Beer,,62,79,,3.44,N/A,5.00%,38
Hooligan Amber Ale,Bentley Brewing Company / Dark Horse Tavern,Southbridge,MA,American Amber / Red Ale,,87,N/A,,0,N/A,6.00%,0
Sir Dankly IPA,Bentley Brewing Company / Dark Horse Tavern,Southbridge,MA,American IPA,,87,N/A,,0,N/A,6.90%,0
Southbridge Ordinary Bitter,Bentley Brewing Company / Dark Horse Tavern,Southbridge,MA,English Bitter,,87,N/A,,0,N/A,5.75%,0
